chinese,english,source,refs_list
无所不晓,"know everything, be knowledgeable in all aspects",JSON,"['know everything, be knowledgeable in all aspects']"
琼枝玉叶,beautiful and valuable decoration or ornament,JSON,['beautiful and valuable decoration or ornament']
先斩后奏,taking impulsive or hasty actions without seeking approval or permission first,JSON,['taking impulsive or hasty actions without seeking approval or permission first']
南来北往,travelling back and forth between the north and south,JSON,['travelling back and forth between the north and south']
言听计从,obey someone's advice without question,JSON,"[""obey someone's advice without question""]"
心满意足,content and satisfied; feeling fully satisfied or content with what one has achieved or obtained,JSON,"['content and satisfied', 'feeling fully satisfied or content with what one has achieved or obtained']"
普度众生,to save or help all living beings; often used to describe acts of kindness and benevolence towards others,JSON,"['to save or help all living beings', 'often used to describe acts of kindness and benevolence towards others']"
虚怀若谷,"being open-minded and humble, willing to accept and learn from others",JSON,"['being open-minded and humble, willing to accept and learn from others']"
论功行赏,reward people according to their contribution,JSON,['reward people according to their contribution']
独来独往,preferring to be alone and not seeking companionship,JSON,['preferring to be alone and not seeking companionship']
人心涣散,"dissension among the people, lack of unity",JSON,"['dissension among the people, lack of unity']"
天下太平,peace and stability throughout the world,JSON,['peace and stability throughout the world']
酸甜苦辣,"sweet, sour, bitter, and spicy; all the experiences and flavors of life",JSON,"['sweet, sour, bitter, and spicy', 'all the experiences and flavors of life']"
真凭实据,"based on solid evidence, irrefutable",JSON,"['based on solid evidence, irrefutable']"
老骥伏枥,an old horse in its stable; an experienced person who is still full of energy and talent,JSON,"['an old horse in its stable', 'an experienced person who is still full of energy and talent']"
香消玉殒,the beauty or talent of someone or something fading away or coming to an untimely end,JSON,['the beauty or talent of someone or something fading away or coming to an untimely end']
知难而退,to recognize the difficulty and give up,JSON,['to recognize the difficulty and give up']
匹马单枪,to face a challenge or take on a task alone without any help or support,JSON,['to face a challenge or take on a task alone without any help or support']
雄才大略,great talent and broad vision,JSON,['great talent and broad vision']
连篇累牍,continuous and extensive; also refers to a large amount of written or spoken material,JSON,"['continuous and extensive', 'also refers to a large amount of written or spoken material']"
